type,country,name,id,lat,lon,elev,mft,ref,freq,unit,chan,decl,north,range,kmm
VOR,FR,DEAUVILLE NORMANDIE,DVL,49.310833333333,0.31277777777778,145,M,MSL,110.200,MHZ,none,0.7117221676545304,FALSE,60,NM
VOR,FR,DIEPPE,DPE,49.925277777778,1.1705555555556,104,M,MSL,115.800,MHZ,none,0.9390346125370654,FALSE,40,NM
VOR-DME,FR,DIJON-LONGVIC,DJL,47.270833333333,5.0972222222222,216,M,MSL,111.450,MHZ,51Y,2.1764836401324956,FALSE,60,NM
VOR-DME,FR,DINARD PLEURTUIT SAINT MALO,DIN,48.586111111111,-2.0822222222222,63,M,MSL,114.300,MHZ,90X,0.004780428641588586,FALSE,80,NM
VOR-DME,FR,EPERNON,EPR,48.625833333333,1.6566666666667,158,M,MSL,115.650,MHZ,103Y,1.1663077618683357,FALSE,60,NM
VOR,FR,EPINAL MIRECOURT,EPL,48.317777777778,6.0594444444444,343,M,MSL,113.000,MHZ,none,2.41910952713365,FALSE,60,NM
VOR,FR,EVREUX FAUVILLE,EVX,49.031666666667,1.2208333333333,136,M,MSL,112.400,MHZ,none,1.0114828005551701,FALSE,60,NM
VOR-DME,FR,FIGARI,FGI,41.502222222222,9.0833333333333,26,M,MSL,116.700,MHZ,114X,2.9839151834011637,FALSE,40,NM
VOR,FR,GAILLAC,GAI,43.954038985136236,1.8241706899783878,285,M,MSL,115.800,MHZ,none,2,FALSE,100,NM
VOR-DME,FR,GROSTENQUIN,GTQ,48.986388888889,6.7161111111111,309,M,MSL,115.050,MHZ,97Y,2.590833425265377,FALSE,60,NM
VOR-DME,FR,ISTRES LE TUBE,ITS,43.500277777778,4.94,16,M,MSL,112.700,MHZ,74X,2.155890203382178,FALSE,none,none
VOR-DME,FR,L&apos;AIGLE,LGL,48.790555555556,0.53027777777778,290,M,MSL,112.700,MHZ,74X,0.8149000578645649,FALSE,60,NM
VOR,FR,LA CHATRE,LCA,46.691388888889,2.1494444444444,269,M,MSL,112.100,MHZ,none,1.3958443089099262,FALSE,none,none
VOR-DME,FR,LA TOUR DU PIN,LTP,45.489,5.43906,641,M,MSL,115.550,MHZ,102Y,2.2768545730814957,FALSE,none,none
VOR-DME,FR,LE LUC LE CANNET,LUC,43.382777777778,6.2558333333333,303,M,MSL,113.000,MHZ,77X,2.4535427227327813,FALSE,none,none
VOR,FR,LEMBEYE,LMB,43.466666666667,-0.018333333333333,293,M,MSL,111.800,MHZ,none,0.9131988560335499,FALSE,none,none
VOR-DME,FR,LILLE,LEQ,50.561666666667,3.0891666666667,43,M,MSL,109.000,MHZ,27X,1.4998210837881412,FALSE,40,NM
VOR-DME,FR,LIMOGES,LMG,45.815833333333,1.0255555555556,417,M,MSL,114.500,MHZ,92X,1.1169441127325221,FALSE,none,none
VOR,FR,LUXEUIL,LUL,47.688333333333,6.2955555555556,316,M,MSL,117.100,MHZ,none,2.485034428128866,FALSE,none,none
VOR-DME,FR,LYON SAINT EXUPERY,LSE,45.745555555556,5.0905555555556,234,M,MSL,114.750,MHZ,94Y,2.1899132029447137,FALSE,100,NM
VOR-DME,FR,MARSEILLE,MRM,43.377222222222,5.3263888888889,241,M,MSL,108.800,MHZ,25X,2.24410491128452,FALSE,60,NM
VOR-DME,FR,MARTIGUES,MTG,43.386388888889,5.0869444444444,200,M,MSL,117.300,MHZ,120X,2.18925627200539,FALSE,100,NM
VOR-DME,FR,MELUN,MLN,48.455833333333,2.8133333333333,102,M,MSL,113.600,MHZ,83X,1.5142857496268445,FALSE,40,NM
VOR-DME,FR,MONT DE MARSAN,LGH,43.910833333333,-0.495,60,M,MSL,111.650,MHZ,53Y,0.7680424297891483,FALSE,60,NM
VOR,FR,MONTDIDIER,MTD,49.5525,2.4894444444444,125,M,MSL,113.650,MHZ,none,1.3676992398522254,FALSE,none,none
VOR-DME,FR,MONTELIMAR,MTL,44.555,4.7797222222222,157,M,MSL,113.650,MHZ,83Y,2.1190025225713587,FALSE,100,NM
VOR,FR,MONTMEDY-DUN SUR MEUSE,MMD,49.391388888889,5.1244444444444,190,M,MSL,109.400,MHZ,none,2.145212957015094,FALSE,40,NM
VOR-DME,FR,MONTPELLIER,FJR,43.578333333333,3.9747222222222,2,M,MSL,114.450,MHZ,91Y,1.928287534548906,FALSE,60,NM
VOR-DME,FR,MOULINS,MOU,46.706666666667,3.6316666666667,314,M,MSL,116.700,MHZ,114X,1.7991642524918292,FALSE,80,NM
VOR-DME,FR,NANTES ATLANTIQUE,NTS,47.160833333333,-1.6127777777778,25,M,MSL,115.500,MHZ,102X,0.2662724392766976,FALSE,150,NM
VOR,FR,NEVERS,NEV,47.153055555556,2.9294444444444,200,M,MSL,113.400,MHZ,none,1.595686899418002,FALSE,80,NM
VOR-DME,FR,NICE,AZR,43.659722222222,7.2244444444444,5,M,MSL,109.650,MHZ,33Y,2.671467552206972,FALSE,100,NM
DME,FR,NICE,CGS,43.645277777778,7.1458333333333,6,M,MSL,109.200,MHZ,29X,2.838,FALSE,40,NM
DME,FR,NICE,NIZ,43.770555555556,7.2544444444444,831,M,MSL,112.400,MHZ,71X,2.85,FALSE,150,NM
DME,FR,NIMES,NG,43.765833333333,4.4175,92,M,MSL,109.550,MHZ,32Y,2.0336170195415844,FALSE,none,none
VOR-DME,FR,ORLEANS-BRICY,BCY,47.985277777778,1.7555555555556,125,M,MSL,117.350,MHZ,120Y,1.2283388459757314,FALSE,none,none
DME,FR,PARIS CHARLES DE GAULLE,PGS,48.999444444444,2.6238888888889,99,M,MSL,117.050,MHZ,117Y,1.637,FALSE,110,NM
VOR-DME,FR,PARIS LE BOURGET,BT,48.974722222222,2.4552777777778,62,M,MSL,116.100,MHZ,108X,1.3861478611401437,FALSE,40,NM
DME,FR,PARIS ORLY,POL,48.72994444444444,2.3863611111111114,80,M,MSL,113.950,MHZ,86Y,1.73,FALSE,65,NM
VOR-DME,FR,PERPIGNAN,PPG,42.750555555556,2.8672222222222,39,M,MSL,116.250,MHZ,109Y,1.6651142662078722,FALSE,80,NM
VOR,FR,POITIERS,POI,46.581111111111,0.29805555555556,130,M,MSL,113.300,MHZ,none,0.8748931241548317,FALSE,60,NM
VOR,FR,PONTOISE,PON,49.096111111111,2.0358333333333,95,M,MSL,111.600,MHZ,none,1.254775544134967,FALSE,40,NM
VOR-DME,FR,QUIMPER PLUGUFFAN,QPR,47.957222222222,-4.1847222222222,101,M,MSL,117.800,MHZ,125X,-0.6286648108946218,FALSE,150,NM
VOR-DME,FR,RAMBOUILLET,RBT,48.653888888889,1.9941666666667,190,M,MSL,114.700,MHZ,94X,1.2652746726195192,FALSE,60,NM
VOR,FR,REIMS,REM,49.311666666667,4.0452777777778,110,M,MSL,112.300,MHZ,none,1.8382015689349618,FALSE,60,NM
VOR-DME,FR,RENNES SAINT JACQUES,REN,48.069166666667,-1.7416666666667,30,M,MSL,109.250,MHZ,29Y,0.15721923148727251,FALSE,150,NM
VOR,FR,ROANNE,ROA,46.059166666667,3.9991666666667,84,M,MSL,110.250,MHZ,none,1.9091874413612497,FALSE,60,NM
VOR-DME,FR,ROLAMPONT,RLP,47.906388888889,5.2491666666667,450,M,MSL,117.300,MHZ,120X,2.2076314641054595,FALSE,60,NM
VOR,FR,ROUEN VALLEE DE SEINE,ROU,49.465555555556,1.2805555555556,160,M,MSL,116.800,MHZ,none,1.0030956729274698,FALSE,40,NM
VOR-DME,FR,SAINT TROPEZ,STP,43.219444444444,6.6016666666667,300,M,MSL,116.500,MHZ,112X,2.5271006447399165,FALSE,60,NM
VOR,FR,SAUVETERRE DE GUYENNE,SAU,44.676666666667,-0.15277777777778,130,M,MSL,116.800,MHZ,none,0.8339194941157003,FALSE,60,NM
VOR-DME,FR,SAVERNE,SAV,48.796111111111,7.4480555555556,300,M,MSL,110.450,MHZ,41Y,2.7858064751680454,FALSE,60,NM
VOR-DME,FR,STRASBOURG,STR,48.505277777778,7.5719444444444,178,M,MSL,115.600,MHZ,103X,2.8166006672166146,FALSE,60,NM
VOR-DME,FR,TARBES,TBO,43.332222222222,0.14583333333333,300,M,MSL,113.900,MHZ,86X,0.9612490187670878,FALSE,80,NM
DME,FR,THIERS,TIS,45.88194444444444,3.553611111111111,675,M,MSL,117.500,MHZ,122X,1.987,FALSE,60,NM
VOR-DME,FR,TOULOUSE,TOU,43.680833333333,1.3097222222222,169,M,MSL,117.700,MHZ,124X,1.2602760681389724,FALSE,70,NM
VOR,FR,TOUSSUS LE NOBLE,TSU,48.753611111111,2.1022222222222,158,M,MSL,108.250,MHZ,none,1.2922943946815966,FALSE,80,NM
VOR,FR,TROYES,TRO,48.251111111111,3.9630555555556,250,M,MSL,116.000,MHZ,none,1.8483131716402093,FALSE,60,NM
DME,FR,POITIERS BIARD,PT,46.59455555555556,0.31475000000000003,128,M,MSL,110.950,MHZ,46Y,1.233,FALSE,none,none
VOR-DME,CO,AMBALEMA,ABL,4.7838888888889,-74.7675,295,M,MSL,112.700,MHZ,74X,-7.482079354387451,FALSE,125,NM
VOR-DME,CO,ARAUCA,AUC,7.067126417423282,-70.73287993585348,130,M,MSL,114.000,MHZ,87X,-10.372,FALSE,none,none
VOR-DME,CO,ARMENIA,AXM,4.459741824414195,-75.76557133384554,1200,M,MSL,111.600,MHZ,53X,-6.808,FALSE,none,none
VOR-DME,CO,BARRANCABERMEJA,EJA,7.028625122564975,-73.80548565367992,120,M,MSL,115.900,MHZ,106X,-8.427,FALSE,none,none
VOR-DME,CO,BARRANQUILLA,BAQ,10.795279309041405,-74.8602196604058,98,M,MSL,113.700,MHZ,84X,-8.206,FALSE,none,none
VOR-DME,CO,BOGOTA,BOG,4.8466666666667,-74.323333333333,3000,M,MSL,113.900,MHZ,86X,-7.786671192208718,FALSE,100,NM
VOR-DME,CO,BUCARAMANGA,BGA,7.131549729126917,-73.1843316064982,1200,M,MSL,113.500,MHZ,82X,-8.836,FALSE,none,none
VOR-DME,CO,BUENAVENTURA,BUN,3.8253831836941714,-76.99522502408298,30,M,MSL,113.800,MHZ,85X,-5.887,FALSE,none,none
VOR-DME,CO,BUVIS,BUV,5.532089559351817,-73.85873813376591,3000,M,MSL,116.200,MHZ,109X,-8.216,FALSE,none,none
VOR-DME,CO,CALI,CLO,3.4008456382457553,-76.40645447960043,960,M,MSL,115.500,MHZ,102X,-6.224,FALSE,none,none
DME,CO,CARTAGENA,CTG,10.208333333333,-75.505833333333,50,M,MSL,112.300,MHZ,70X,-7.69811188489178,FALSE,100,NM
VOR,CO,CARTAGENA,CTG,10.208333333333,-75.505833333333,50,M,MSL,112.300,MHZ,none,-7.698111885018897,FALSE,none,none
VOR-DME,CO,CERREJON,CJN,11.23051765058814,-72.49250079266045,89,M,MSL,113.400,MHZ,81X,-9.69,FALSE,none,none
VOR-DME,CO,CUCUTA,CUC,7.933439121271803,-72.51358583068661,320,M,MSL,113.300,MHZ,80X,-9.347,FALSE,none,none
VOR-DME,CO,EL BANCO,ELB,9.045219448814322,-73.96723218635285,35,M,MSL,114.300,MHZ,90X,-8.556,FALSE,none,none
VOR-DME,CO,EL YOPAL,EYP,5.27694,-72.4258,270,M,MSL,115.600,MHZ,103X,-9.129,FALSE,none,none
VOR-DME,CO,FLORENCIA,FLA,1.5876223424794205,-75.5694987109582,250,M,MSL,112.400,MHZ,71X,-6.539,FALSE,none,none
VOR-DME,CO,GIRARDOT,GIR,4.192096622384,-74.86585648150972,310,M,MSL,117.300,MHZ,120X,-7.38,FALSE,none,none
VOR-DME,CO,IBAGUE,IBG,4.3976438808939236,-75.10592299074332,830,M,MSL,113.100,MHZ,78X,-7.245,FALSE,none,none
VOR-DME,CO,IPIALES,IPI,0.8621100963800978,-77.67304919573415,3000,M,MSL,113.600,MHZ,83X,-4.959,FALSE,none,none
VOR-DME,CO,LETICIA,LET,-4.19499697527246,-69.9398417053496,79,M,MSL,117.500,MHZ,122X,-9.815,FALSE,50,NM
VOR-DME,CO,LOS CEDROS,LCE,7.818909893243329,-76.72218262675112,11,M,MSL,112.600,MHZ,73X,-6.642,FALSE,none,none
VOR-DME,CO,MAGANGUE,MGN,9.287194577144334,-74.84689693783287,63,M,MSL,114.100,MHZ,88X,-8.033,FALSE,none,none
VOR-DME,CO,MARANDUA,MDU,5.533041819545728,-68.67339761708423,110,M,MSL,114.200,MHZ,89X,-11.524,FALSE,none,none
VOR-DME,CO,MARINILLA,MRN,6.1763888888889,-75.323888888889,2150,M,MSL,113.000,MHZ,77X,-7.294296822090906,FALSE,100,NM
VOR-DME,CO,MARIQUITA,MQU,5.205022157842976,-74.92109898699664,830,M,MSL,116.100,MHZ,108X,-7.475,FALSE,none,none
VOR-DME,CO,MERCADERES,MER,1.788886003440652,-77.15137788063402,1200,M,MSL,116.300,MHZ,110X,-5.471,FALSE,none,none
VOR-DME,CO,MITU,MTU,1.2421677412717997,-70.23669370805925,170,M,MSL,112.200,MHZ,59X,-10.187,FALSE,none,none
VOR-DME,CO,MONTERIA,MTR,8.833828314883021,-75.8298093907881,13,M,MSL,114.800,MHZ,95X,-7.352,FALSE,none,none
VOR-DME,CO,NEIVA,NVA,3.061806796740825,-75.25584910410888,440,M,MSL,115.800,MHZ,105X,-6.964,FALSE,none,none
VOR-DME,CO,OTU,OTU,7.020963037413111,-74.7094458854627,710,M,MSL,115.400,MHZ,101X,-7.842,FALSE,none,none
VOR-DME,CO,PASTO,PSO,1.398089590380124,-77.28980746633478,1800,M,MSL,113.400,MHZ,81X,-5.313,FALSE,none,none
DVOR-DME,CO,PEREIRA,PEI,4.7813888888889,-75.836111111111,1180,M,MSL,116.000,MHZ,107X,-6.766228339687841,FALSE,100,NM
VOR-DME,CO,PIEDECUESTA,PIE,6.883992737957207,-73.09211287263295,1600,M,MSL,116.800,MHZ,115X,-8.87,FALSE,none,none
VOR-DME,CO,POPAYAN,PPN,2.449034627188496,-76.61408681801551,1700,M,MSL,114.500,MHZ,92X,-5.944,FALSE,none,none
VOR-DME,CO,PUERTO CARRENO,PTC,6.1818850386618465,-67.49562046897495,54,M,MSL,112.900,MHZ,76X,-12.26,FALSE,none,none
VOR-DME,CO,PUERTO INIRIDA,PDA,3.852643899287031,-67.90389790062643,96,M,MSL,114.900,MHZ,96X,-11.895,FALSE,none,none
VOR-DME,CO,PUERTO LEGUIZAMO,PLG,-0.17849879049735762,-74.7755113091421,190,M,MSL,112.800,MHZ,75X,-6.841,FALSE,none,none
VOR-DME,CO,QUIBDO,UIB,5.692297741080253,-76.6412825656388,57,M,MSL,113.200,MHZ,79X,-6.398,FALSE,none,none
VOR-DME,CO,RIOHACHA,RHC,11.527486348606843,-72.91740193766229,16,M,MSL,117.100,MHZ,118X,-9.47,FALSE,none,none
DVOR-DME,CO,RIONEGRO,RNG,5.9805555555556,-75.418333333333,2642,M,MSL,115.100,MHZ,98X,-7.206276501954244,FALSE,100,NM
VOR-DME,CO,SAN ANDRES,SPP,12.58236267527812,-81.70519634312629,37,M,MSL,113.300,MHZ,80X,-4.21,FALSE,none,none
VOR-DME,CO,SAN JOSE DEL GUAVIARE,SJE,2.5316430249926896,-72.64034345837828,200,M,MSL,113.300,MHZ,80X,-8.687,FALSE,none,none
VOR-DME,CO,SAN VINCENTE,SVC,2.1570440681499434,-74.77344276197627,270,M,MSL,116.500,MHZ,112X,-7.173,FALSE,none,none
VOR-DME,CO,SANTA MARTA,STA,10.962685288660166,-74.24059754945777,3,M,MSL,116.600,MHZ,113X,-8.609,FALSE,none,none
VOR-DME,CO,SOACHA,SOA,4.6030555555556,-74.273055555556,2460,M,MSL,108.600,MHZ,23X,-7.789761627857233,FALSE,150,NM
VOR-DME,CO,TAME,TME,6.453030045654955,-71.75387375040168,350,M,MSL,114.500,MHZ,92X,-9.68,FALSE,none,none
VOR-DME,CO,TRES ESQUINAS,TQS,0.742095258281708,-75.23339643733165,200,M,MSL,114.200,MHZ,89X,-6.652,FALSE,none,none
VOR-DME,CO,TULUA,ULQ,4.092344604750068,-76.22334168580217,960,M,MSL,117.700,MHZ,124X,-6.451,FALSE,none,none
VOR-DME,CO,TUMACO,TCO,1.8145353978380996,-78.74808985149717,0,M,MSL,114.000,MHZ,87X,-4.378,FALSE,none,none
VOR-DME,CO,VALLEDUPAR,VUP,10.444825197088477,-73.24922393471998,150,M,MSL,114.600,MHZ,93X,-9.156,FALSE,none,none
VOR-DME,CO,VILLAVICENCIO,VVC,4.0669986802287355,-73.38228479574319,320,M,MSL,116.700,MHZ,114X,-8.363,FALSE,none,none
VOR-DME,CO,ZIPAQUIRA,ZIP,5.018276937194628,-73.98691132946544,2600,M,MSL,114.700,MHZ,94X,-8.073,FALSE,none,none
VORTAC,UM,WAKE ISLAND,AWK,19.28658606258621,166.62733273994377,5,M,MSL,113.500,MHZ,82X,5.278,FALSE,none,none
VOR-DME,VU,BAUERFIELD,VLI,-17.662125295921257,168.24381077951847,250,M,MSL,114.300,MHZ,90X,11.66,FALSE,none,none
DME,VU,SANTO PEKOA,SON,-15.50667444948972,167.2171037573317,48,M,MSL,114.500,MHZ,92X,11.04,FALSE,none,none
VORTAC,GL,THULE,THT,76.54245217149528,-68.23928194068482,410,M,MSL,111.000,MHZ,47X,-40.3,FALSE,none,none
VOR-DME,GG,GUERNSEY,GUR,49.437222222222,-2.6038888888889,98,M,MSL,109.400,MHZ,31X,-0.24623061613024794,FALSE,50,NM
VOR-DME,TT,PIARCO,POS,10.46633225003309,-61.39235999883678,27,M,MSL,116.900,MHZ,116X,-15.262,FALSE,none,none
VORTAC,JP,KAGOSHIMA,HKC,31.697222222222223,130.58294166666667,581,M,MSL,113.300,MHZ,80X,-7.434,FALSE,none,none
VOR-DME,JP,KAJIKI,KGE,31.7975,130.72583333333,265,M,MSL,115.700,MHZ,104X,-7.250330574292629,FALSE,none,none
VOR-DME,JP,NAKATANE,TGE,30.602222222222,130.99166666667,247,M,MSL,115.400,MHZ,101X,-6.886214920794062,FALSE,none,none
VOR-DME,JP,YAO,YOE,34.59845833333333,135.59370555555554,31,M,MSL,114.600,MHZ,93X,-8.012,FALSE,none,none
VOR-DME,JP,KANSAI,KIE,34.42573888888889,135.20773055555554,12,M,MSL,111.600,MHZ,53X,-7.991,FALSE,none,none
VOR-DME,JP,ITAMI,ITE,34.805483333333335,135.40366111111112,54,M,MSL,114.750,MHZ,94Y,-8.095,FALSE,none,none
VOR-DME,JP,KOBE,KCE,34.63111111111111,135.22833333333332,0,M,MSL,111.250,MHZ,49Y,-8.054,FALSE,none,none
VOR-DME,JP,KAGAWA,KTE,34.212497222222225,134.02259166666667,203,M,MSL,108.400,MHZ,21X,-8.01,FALSE,none,none
VORTAC,JP,TOKUSHIMA,TSC,34.12972222222222,134.60861111111112,7,M,MSL,114.900,MHZ,96X,-7.944,FALSE,none,none
VOR-DME,JP,KIBI,OYE,34.75038333333333,133.83505555555556,268,M,MSL,111.000,MHZ,47X,-8.19,FALSE,none,none
VOR-DME,JP,AOMORI,MRE,40.738791666666664,140.70533333333333,219,M,MSL,114.100,MHZ,88X,-9.283,FALSE,none,none
DME,JP,AMI,TLD,36.02099444444445,140.20575555555556,41,M,MSL,116.000,MHZ,107X,-7.864,FALSE,none,none
DME,JP,GOBOH,GBD,33.910183333333336,135.10615,310,M,MSL,116.900,MHZ,116X,-7.846,FALSE,none,none
DME,JP,AWAJI,AJD,34.270377777777774,134.7130138888889,270,M,MSL,115.600,MHZ,103X,-7.991,FALSE,none,none
VOR-DME,JP,NANKI,NKE,33.66126388888889,135.3594138888889,103,M,MSL,109.050,MHZ,27Y,-7.745,FALSE,none,none
VOR-DME,JP,CHUBU,CBE,34.85800555555556,136.80316944444445,12,M,MSL,117.800,MHZ,125X,-7.982,FALSE,none,none
VOR-DME,JP,CHITOSE,CHE,42.69990277777778,141.68616666666668,26,M,MSL,116.900,MHZ,116X,-9.71,FALSE,none,none
VOR-DME,JP,KOCHI,KRE,33.541783333333335,133.68015833333334,16,M,MSL,113.700,MHZ,84X,-7.831,FALSE,none,none
VOR-DME,JP,MATSUYAMA,MYE,33.830102777777775,132.69222222222223,14,M,MSL,110.650,MHZ,43Y,-7.973,FALSE,none,none
VORTAC,JP,KUSHIMOTO,KEC,33.447741666666666,135.79449444444444,45,M,MSL,112.900,MHZ,76X,-7.641,FALSE,none,none
VOR-DME,JP,NARITA,NRE,35.78234444444445,140.3625361111111,47,M,MSL,117.900,MHZ,126X,-7.771,FALSE,none,none
VORTAC,JP,HYAKURI,HUC,36.18700555555556,140.41372777777778,49,M,MSL,113.300,MHZ,80X,-7.893,FALSE,none,none
DME,JP,MORIYA,SND,35.935091666666665,139.98123055555556,38,M,MSL,114.000,MHZ,87X,-7.886,FALSE,none,none
VOR-DME,JP,HANEDA,HME,35.56231666666667,139.76115,19,M,MSL,112.200,MHZ,59X,-7.801,FALSE,none,none
DME,JP,YOKOSUKA,HYD,35.25558888888889,139.5874638888889,153,M,MSL,116.200,MHZ,109X,-7.729,FALSE,none,none
DME,JP,TATEYAMA,PQD,34.94622777777778,139.89532222222223,183,M,MSL,112.500,MHZ,72X,-7.577,FALSE,none,none
VOR-DME,JP,SEKIYADO,SYE,36.010925,139.83917222222223,9,M,MSL,117.000,MHZ,117X,-7.934,FALSE,none,none
DME,JP,SHODO,STD,34.51236388888889,134.27421388888888,771,M,MSL,114.400,MHZ,91X,-8.105,FALSE,none,none
VORTAC,JP,SHIMIZU,SUC,32.75598055555555,132.99685555555556,490,M,MSL,115.200,MHZ,99X,-7.628,FALSE,none,none
VOR-DME,JP,SHIZUOKA,SZE,34.796841666666666,138.1931972222222,137,M,MSL,110.650,MHZ,43Y,-7.792,FALSE,none,none
VORTAC,JP,NAHA,NHC,26.208530555555555,127.64286666666666,17,M,MSL,116.500,MHZ,112X,-5.745,FALSE,none,none
VORTAC,JP,NAGOYA,KCC,35.26526666666667,136.914925,25,M,MSL,114.200,MHZ,89X,-8.106,FALSE,none,none
VOR-DME,JP,NOTO,NTE,37.28996111111111,136.9629111111111,242,M,MSL,111.450,MHZ,51Y,-8.752,FALSE,none,none
VOR-DME,JP,MIYAZU,YME,35.480691666666665,135.1370222222222,740,M,MSL,112.600,MHZ,73X,-8.354,FALSE,none,none
VORTAC,JP,KOMATSU,KMC,36.39646944444444,136.40425277777777,8,M,MSL,112.000,MHZ,57X,-8.528,FALSE,none,none
VOR-DME,JP,TOYAMA,TOE,36.65218888888889,137.1911111111111,35,M,MSL,110.850,MHZ,45Y,-8.523,FALSE,none,none
VORTAC,JP,NIIGATA,GTC,37.95829444444445,139.1148861111111,12,M,MSL,115.500,MHZ,102X,-8.681,FALSE,none,none
VOR-DME,JP,FUKUSHIMA,FKE,37.22430555555555,140.4370861111111,400,M,MSL,113.450,MHZ,81Y,-8.231,FALSE,none,none
VOR-DME,JP,SENDAI,SDE,38.13857222222222,140.92148333333333,16,M,MSL,116.300,MHZ,110X,-8.438,FALSE,none,none
VOR-DME,JP,HANAMAKI,HPE,39.43335833333333,141.1335,103,M,MSL,112.800,MHZ,75X,-8.812,FALSE,none,none
VOR-DME,JP,YAMAGATA,YTE,38.388622222222224,140.35795277777777,110,M,MSL,113.000,MHZ,77X,-8.618,FALSE,none,none
VOR-DME,JP,SHONAI,YSE,38.81078055555555,139.79930833333333,49,M,MSL,109.600,MHZ,33X,-8.846,FALSE,none,none
VORTAC,JP,MISAWA,MIS,40.70382222222222,141.38110833333334,30,M,MSL,115.400,MHZ,101X,-9.164,FALSE,none,none
VOR-DME,JP,YUWA,UWE,39.617127777777775,140.18693611111112,87,M,MSL,110.650,MHZ,43Y,-9.036,FALSE,none,none
VOR-DME,JP,ODATE,ODE,40.198341666666664,140.36185555555556,94,M,MSL,114.750,MHZ,94Y,-9.189,FALSE,none,none
VOR-DME,JP,IWAKI,IXE,37.14886388888889,140.97568611111112,163,M,MSL,117.700,MHZ,124X,-8.11,FALSE,none,none
VOR-DME,JP,MATSUMOTO,MBE,36.155975,137.91981666666666,689,M,MSL,117.600,MHZ,123X,-8.273,FALSE,none,none
VOR-DME,JP,IZUMO,XZE,35.41723888888889,132.89237222222224,13,M,MSL,113.400,MHZ,81X,-8.478,FALSE,none,none
VOR-DME,JP,YONAGO,YGE,35.501377777777776,133.25720555555554,13,M,MSL,117.300,MHZ,120X,-8.489,FALSE,none,none
VOR-DME,JP,TOTTORI,TRE,35.5273,134.16488611111112,35,M,MSL,110.200,MHZ,39X,-8.449,FALSE,none,none
VOR-DME,JP,HACHIJOJIMA,HCE,33.11435,139.78848333333335,103,M,MSL,116.650,MHZ,113Y,-7.009,FALSE,none,none
VORTAC,JP,OSHIMA,XAC,34.71225277777778,139.41401666666667,637,M,MSL,113.100,MHZ,78X,-7.596,FALSE,none,none
VOR-DME,JP,OYAMA,MOE,34.071041666666666,139.5612888888889,19,M,MSL,108.650,MHZ,23Y,-7.362,FALSE,none,none
VOR-DME,JP,MIHARA,OSE,34.78774166666667,139.36485,48,M,MSL,109.850,MHZ,35Y,-7.63,FALSE,none,none
VOR-DME,JP,IWAMI,IME,34.67624444444444,131.77988055555556,70,M,MSL,115.050,MHZ,97Y,-8.281,FALSE,none,none
VOR-DME,JP,HONGO,HGE,34.433775,132.92396944444445,343,M,MSL,117.900,MHZ,126X,-8.173,FALSE,none,none
VOR-DME,JP,IKI,IKE,33.74751111111111,129.77685277777778,66,M,MSL,113.200,MHZ,79X,-7.995,FALSE,none,none
VOR-DME,JP,OKI,OIE,36.176741666666665,133.32282222222221,82,M,MSL,109.250,MHZ,29Y,-8.7,FALSE,none,none
VOR-DME,JP,UBE,UBE,33.935627777777775,131.28353055555556,19,M,MSL,110.800,MHZ,45X,-8.061,FALSE,none,none
VOR-DME,JP,KUMAMOTO,KUE,32.834802777777774,130.8415138888889,198,M,MSL,112.800,MHZ,75X,-7.75,FALSE,none,none
VORTAC,JP,FUKUOKA,DGC,33.676208333333335,130.38962777777778,20,M,MSL,114.500,MHZ,92X,-8.004,FALSE,none,none
VOR-DME,JP,KASARI,AME,28.434716666666667,129.71140833333334,13,M,MSL,113.950,MHZ,86Y,-6.472,FALSE,none,none
VOR-DME,JP,MIYAZAKI,MZE,31.878727777777776,131.43746666666667,16,M,MSL,112.400,MHZ,71X,-7.477,FALSE,none,none
VOR-DME,JP,MUSASHI,TFE,33.489713888888886,131.72875555555555,30,M,MSL,117.700,MHZ,124X,-7.963,FALSE,none,none
VOR-DME,JP,NAGASAKI,OLE,32.90524722222222,129.91798055555554,47,M,MSL,116.600,MHZ,113X,-7.793,FALSE,none,none
VOR-DME,JP,SUOH,SWE,33.85661666666667,131.0294,19,M,MSL,113.850,MHZ,85Y,-8.084,FALSE,none,none
VOR-DME,JP,TSUSHIMA,VCE,34.281508333333335,129.3370111111111,66,M,MSL,111.450,MHZ,51Y,-8.192,FALSE,none,none
VOR-DME,JP,MUKAWA,MKE,42.55500555555555,141.95563055555556,29,M,MSL,116.400,MHZ,111X,-9.661,FALSE,none,none
VOR-DME,JP,FUKUE,FUE,32.66860555555556,128.8267361111111,90,M,MSL,115.800,MHZ,105X,-7.697,FALSE,none,none
VOR-DME,JP,SAGA,SGE,33.14861944444444,130.29289722222222,12,M,MSL,114.750,MHZ,94Y,-7.87,FALSE,none,none
VORTAC,JP,ERABU,ONC,27.432883333333333,128.6989638888889,64,M,MSL,113.100,MHZ,78X,-6.181,FALSE,none,none
VOR-DME,JP,TOKUNOSHIMA,TKE,27.82477777777778,128.88221666666666,15,M,MSL,110.450,MHZ,41Y,-6.295,FALSE,none,none
VOR-DME,JP,AMAKUSA,AKE,32.48023611111111,130.16096666666667,105,M,MSL,113.450,MHZ,81Y,-7.669,FALSE,none,none
VORTAC,JP,KADENA,KAD,26.35671111111111,127.76853611111112,39,M,MSL,112.000,MHZ,57X,-5.865,FALSE,none,none
